Name,Number,Position,Height,Weight,Age,Exp,College
Mason Rudolph,2.0,QB,5-Jun,235.0,25.0,3,Oklahoma State
Jaylen Samuels,38.0,RB,Jun-00,225.0,24.0,3,North Carolina State
JuJu Smith-Schuster,19.0,WR,1-Jun,215.0,24.0,4,USC
Benny Snell Jr.,24.0,RB,10-May,224.0,22.0,2,Kentucky
Cameron Sutton,20.0,CB,11-May,188.0,25.0,4,Tennessee
Stephon Tuitt,91.0,DE,6-Jun,303.0,27.0,7,Notre Dame
Alejandro Villanueva,78.0,OT,9-Jun,320.0,32.0,6,Army
James Washington,13.0,WR,11-May,213.0,24.0,3,Oklahoma State
Derek Watt,44.0,FB,2-Jun,234.0,28.0,5,Wisconsin
T.J. Watt,90.0,LB,4-Jun,252.0,26.0,4,Wisconsin
Avery Williamson,51.0,ILB,1-Jun,246.0,28.0,7,Kentucky
Chris Wormley,95.0,NT,5-Jun,300.0,27.0,4,Michigan
Deandre Baker,30.0,CB,11-May,180.0,23.0,2,Georgia
Le'Veon Bell,26.0,RB,1-Jun,225.0,28.0,7,Michigan State
Bashaud Breeland,21.0,CB,11-May,195.0,28.0,7,Clemson
Harrison Butker,7.0,K,4-Jun,205.0,25.0,4,Georgia Tech
Frank Clark,55.0,DE,3-Jun,260.0,27.0,6,Michigan
Mike Danna,51.0,DE,2-Jun,261.0,23.0,R,Michigan
Yasir Durant,79.0,OL,6-Jun,331.0,22.0,R,Missouri
Clyde Edwards-Helaire,25.0,RB,7-May,207.0,21.0,R,LSU
Rashad Fenton,27.0,CB,11-May,188.0,23.0,2,South Carolina
Eric Fisher,72.0,T,7-Jun,315.0,29.0,8,Central Michigan
Willie Gay,50.0,LB,1-Jun,243.0,22.0,R,Mississippi State
Antonio Hamilton,20.0,CB,Jun-00,195.0,27.0,5,South Carolina State
Mecole Hardman,17.0,WR,10-May,187.0,22.0,2,Georgia
Darius Harris,47.0,LB,2-Jun,238.0,24.0,1,Middle Tennessee
Chad Henne,4.0,QB,3-Jun,222.0,35.0,13,Michigan
Tyreek Hill,10.0,WR,10-May,185.0,26.0,5,West Alabama
Anthony Hitchens,53.0,LB,Jun-00,235.0,28.0,7,Iowa
Chris Jones,95.0,DT,6-Jun,310.0,26.0,5,Mississippi State
Nick Keizer,48.0,TE,4-Jun,251.0,25.0,1,Grand Valley State
Travis Kelce,87.0,TE,5-Jun,260.0,31.0,8,Cincinnati
BoPete Keyes,29.0,CB,1-Jun,202.0,23.0,R,Tulane
Daniel Kilgore,67.0,C,3-Jun,291.0,33.0,10,Appalachian State
